num_layers,num_epochs,batch_size,test_loss
20,100,20,0.006126588676124811
20,100,30,0.00547023443505168
20,100,40,0.0073896474204957485
20,100,50,0.010351692326366901
20,100,60,0.009288139641284943
20,100,70,0.007839416153728962
20,100,80,0.009158517234027386
20,100,90,0.009041711688041687
20,100,100,0.010321514680981636
20,110,10,0.005435289349406958
20,110,20,0.006383772939443588
20,110,30,0.00762911094352603
20,110,40,0.007059572264552116
20,110,50,0.0077371965162456036
20,110,60,0.007908823899924755
20,110,70,0.00896317046135664
20,110,80,0.00671903183683753
20,110,90,0.009586595930159092
20,110,100,0.009975800290703773
20,120,10,0.00579176377505064
20,120,20,0.005941326264292002
20,120,30,0.006516329012811184
20,120,40,0.006098922807723284
20,120,50,0.007820786908268929
20,120,60,0.008420460857450962
20,120,70,0.007694549858570099
20,120,80,0.007383041083812714
20,120,90,0.007950466126203537
20,120,100,0.00801457092165947
20,130,10,0.005270191468298435
20,130,20,0.006519845686852932
20,130,30,0.006971744820475578
20,130,40,0.006225454155355692
20,130,50,0.006219054572284222
20,130,60,0.006852942518889904
20,130,70,0.006989668123424053
20,130,80,0.007853925228118896
20,130,90,0.01005532220005989
20,130,100,0.00834494736045599
20,140,10,0.005048940423876047
20,140,20,0.006114569492638111
20,140,30,0.007927602156996727
20,140,40,0.007108814548701048
20,140,50,0.007886948995292187
20,140,60,0.008095708675682545
20,140,70,0.0071672298945486546
20,140,80,0.007568663451820612
20,140,90,0.008656401187181473
20,140,100,0.00959300808608532
20,150,10,0.0056835319846868515
20,150,20,0.006273694336414337
20,150,30,0.006021514069288969
20,150,40,0.008098004385828972
20,150,50,0.007203465327620506
20,150,60,0.007700826972723007
20,150,70,0.007219018414616585
20,150,80,0.0063387551344931126
20,150,90,0.00802538264542818
20,150,100,0.008484224788844585
20,160,10,0.0050501697696745396
20,160,20,0.005699052941054106
20,160,30,0.006083878688514233
20,160,40,0.006370606832206249
20,160,50,0.006241494324058294
20,160,60,0.007531262468546629
20,160,70,0.0068644508719444275
20,160,80,0.00682635884732008
20,160,90,0.007855874486267567
20,160,100,0.008385112509131432
20,170,10,0.005162357352674007
20,170,20,0.006350677460432053
20,170,30,0.0061266119591891766
20,170,40,0.006982768885791302
20,170,50,0.005857809446752071
20,170,60,0.007165328599512577
20,170,70,0.008023388683795929
20,170,80,0.006638989318162203
20,170,90,0.008434813469648361
20,170,100,0.006268261931836605
20,180,10,0.005226587876677513
20,180,20,0.006631340831518173
20,180,30,0.006125461310148239
20,180,40,0.005540084093809128
20,180,50,0.006490217987447977
20,180,60,0.007147834170609713
20,180,70,0.006261524278670549
20,180,80,0.007363818120211363
20,180,90,0.007336299866437912
20,180,100,0.007772139739245176
20,190,10,0.006268257740885019
20,190,20,0.006451656110584736
20,190,30,0.00561148626729846
20,190,40,0.0057248868979513645
20,190,50,0.008741148747503757
20,190,60,0.007534877397119999
20,190,70,0.00618931045755744
20,190,80,0.007861391641199589
20,190,90,0.0074384151957929134
20,190,100,0.007855808362364769
20,200,10,0.005434904247522354
20,200,20,0.004952295683324337
20,200,30,0.005936610046774149
20,200,40,0.006958012003451586
20,200,50,0.006607329472899437
20,200,60,0.007615790236741304
20,200,70,0.00779308658093214
20,200,80,0.006695121061056852
20,200,90,0.0075206211768090725
20,200,100,0.006627653259783983
30,20,10,0.009102307260036469
30,20,20,0.011134771630167961
30,20,30,0.009514410980045795
30,20,40,0.010599776171147823
30,20,50,0.01065928302705288
30,20,60,0.012783951126039028
30,20,70,0.011036044918000698
30,20,80,0.010387090034782887
30,20,90,0.018477849662303925
30,20,100,0.014102908782660961
30,30,10,0.006959944032132626
30,30,20,0.009843682870268822
30,30,30,0.009292575530707836
30,30,40,0.00977262295782566
30,30,50,0.009964647702872753
30,30,60,0.011314240284264088
30,30,70,0.00921251717954874
30,30,80,0.009357264265418053
30,30,90,0.014028423465788364
30,30,100,0.012035917490720749
30,40,10,0.005761645268648863
30,40,20,0.006846131756901741
30,40,30,0.00879593100398779
30,40,40,0.008773487992584705
30,40,50,0.009175954386591911
30,40,60,0.009462128393352032
30,40,70,0.008939127437770367
30,40,80,0.010640383698046207
30,40,90,0.011476362124085426
30,40,100,0.010792545042932034
30,50,10,0.008574657142162323
30,50,20,0.007359234616160393
30,50,30,0.007427931763231754
30,50,40,0.007935002446174622
30,50,50,0.008909200318157673
30,50,60,0.009009718894958496
30,50,70,0.008386215195059776
30,50,80,0.008854012936353683
30,50,90,0.01012659352272749
30,50,100,0.011117406189441681
30,60,10,0.00753497239202261
30,60,20,0.0076431287452578545
30,60,30,0.007569955661892891
30,60,40,0.008894184604287148
30,60,50,0.009731590747833252
30,60,60,0.007238753139972687
30,60,70,0.008296904154121876
30,60,80,0.009739348664879799
30,60,90,0.00924436841160059
30,60,100,0.010353096760809422
30,70,10,0.005186543334275484
30,70,20,0.007990920916199684
30,70,30,0.012105518952012062
30,70,40,0.007087635342031717
30,70,50,0.00902711320668459
30,70,60,0.008600291796028614
30,70,70,0.009675725363194942
30,70,80,0.008431322872638702
30,70,90,0.009057387709617615
30,70,100,0.009425378404557705
30,80,10,0.00728426082059741
30,80,20,0.006270207930356264
30,80,30,0.0066725118085742
30,80,40,0.007465004920959473
30,80,50,0.007667553145438433
30,80,60,0.008868244476616383
30,80,70,0.007821690291166306
30,80,80,0.008733647875487804
30,80,90,0.009600196033716202
30,80,100,0.009560038335621357
30,90,10,0.0048838029615581036
30,90,20,0.007556677795946598
30,90,30,0.006476322654634714
30,90,40,0.007560041267424822
30,90,50,0.008472680114209652
30,90,60,0.00760093005374074
30,90,70,0.008680124767124653
30,90,80,0.00731117557734251
30,90,90,0.007245246786624193
30,90,100,0.008376545272767544
30,100,10,0.005897102877497673
30,100,20,0.006708822678774595
30,100,30,0.006031070835888386
30,100,40,0.005567979998886585
30,100,50,0.006690084934234619
30,100,60,0.0076401629485189915
30,100,70,0.0076324352994561195
30,100,80,0.008174603804945946
30,100,90,0.008625738322734833
30,100,100,0.007241265848278999
30,110,10,0.005467589478939772
30,110,20,0.006699441932141781
30,110,30,0.006216701120138168
30,110,40,0.007013912778347731
30,110,50,0.006662926636636257
30,110,60,0.007796468213200569
30,110,70,0.0075242770835757256
30,110,80,0.007531823590397835
30,110,90,0.007438412867486477
30,110,100,0.008401640690863132
30,120,10,0.006562097929418087
30,120,20,0.006538237910717726
30,120,30,0.005892270710319281
30,120,40,0.00603527994826436
30,120,50,0.007114628795534372
30,120,60,0.006385056767612696
30,120,70,0.007249210029840469
30,120,80,0.0063887713477015495
30,120,90,0.006924291606992483
30,120,100,0.00691169174388051
30,130,10,0.005131157115101814
30,130,20,0.006157590541988611
30,130,30,0.006397941615432501
30,130,40,0.006904811132699251
30,130,50,0.007083760108798742
30,130,60,0.006294773425906897
30,130,70,0.006287501659244299
30,130,80,0.006020018830895424
30,130,90,0.006920579355210066
30,130,100,0.00777997262775898
30,140,10,0.00617312453687191
30,140,20,0.007433958351612091
30,140,30,0.006244958844035864
30,140,40,0.0072092716582119465
30,140,50,0.005914462264627218
30,140,60,0.008411185815930367
30,140,70,0.006495678797364235
30,140,80,0.007679063826799393
30,140,90,0.007950502447783947
30,140,100,0.006608812138438225
30,150,10,0.0054008993320167065
30,150,20,0.005726668052375317
30,150,30,0.00677860714495182
30,150,40,0.00690968194976449
30,150,50,0.008742877282202244
30,150,60,0.007179848849773407
30,150,70,0.0070995609275996685
30,150,80,0.006067648064345121
30,150,90,0.009898783639073372
30,150,100,0.008975263684988022
30,160,10,0.005598884541541338
30,160,20,0.005572517868131399
30,160,30,0.007445452734827995
30,160,40,0.005545978434383869
30,160,50,0.007536046672612429
30,160,60,0.00664858240634203
30,160,70,0.006970453541725874
30,160,80,0.006743423640727997
30,160,90,0.006785070523619652
30,160,100,0.007862977683544159
30,170,10,0.00503416545689106
